date,ref_name,ref,commit_sha,label,time,rss,vms
2023-07-12T11-00-42,main,refs/heads/main,93fb63ea8e65aca3616ff91e78ff784fbb0050a1,Truth Tracking KF,1.820164,442978304,611667968
2023-07-12T11-00-42,main,refs/heads/main,93fb63ea8e65aca3616ff91e78ff784fbb0050a1,Vertexing,1.815487,445861888,611876864
2023-07-13T08-48-28,main,refs/heads/main,cb16df8ebb2d5ec39058619627ef0445e681de36,CKF Tracking,45.124037,618852352,786649088
2023-07-13T08-48-28,main,refs/heads/main,cb16df8ebb2d5ec39058619627ef0445e681de36,Simulation,6.244166,584159232,875433984
2023-07-13T08-48-28,main,refs/heads/main,cb16df8ebb2d5ec39058619627ef0445e681de36,Truth Tracking GSF,24.058043,519897088,717541376
2023-07-13T08-48-28,main,refs/heads/main,cb16df8ebb2d5ec39058619627ef0445e681de36,Truth Tracking KF,1.7111,443379712,618012672
2023-07-13T08-48-28,main,refs/heads/main,cb16df8ebb2d5ec39058619627ef0445e681de36,Vertexing,6.445236,694734848,907968512
2023-07-13T13-48-28,main,refs/heads/main,9dff59fe2daa5aabdd77694fc81f3d8ebb1670c9,CKF Tracking,8.371369,601579520,782622720
2023-07-13T13-48-28,main,refs/heads/main,9dff59fe2daa5aabdd77694fc81f3d8ebb1670c9,Simulation,6.646087,590856192,816705536
2023-07-13T13-48-28,main,refs/heads/main,9dff59fe2daa5aabdd77694fc81f3d8ebb1670c9,Truth Tracking GSF,24.46856,517873664,717516800
2023-07-13T13-48-28,main,refs/heads/main,9dff59fe2daa5aabdd77694fc81f3d8ebb1670c9,Truth Tracking KF,0.100906,23277568,152084480
2023-07-13T13-48-28,main,refs/heads/main,9dff59fe2daa5aabdd77694fc81f3d8ebb1670c9,Vertexing,39.588851,859160576,1096204288
2023-07-13T16-17-12,main,refs/heads/main,d37616b2e132d0c75afcab51f2f8fb494a425ea6,CKF Tracking,10.514685,598286336,783843328
2023-07-13T16-17-12,main,refs/heads/main,d37616b2e132d0c75afcab51f2f8fb494a425ea6,Simulation,9.297045,574447616,875700224
2023-07-13T16-17-12,main,refs/heads/main,d37616b2e132d0c75afcab51f2f8fb494a425ea6,Truth Tracking GSF,29.306691,518356992,717541376
2023-07-13T16-17-12,main,refs/heads/main,d37616b2e132d0c75afcab51f2f8fb494a425ea6,Truth Tracking KF,0.000359,454656,7761920
2023-07-13T16-17-12,main,refs/heads/main,d37616b2e132d0c75afcab51f2f8fb494a425ea6,Vertexing,2.022377,443756544,615337984
2023-07-13T20-01-00,main,refs/heads/main,4409f3cccd77dd365b11f5eeef50b9935f281e5f,CKF Tracking,15.523392,609755136,787402752
2023-07-13T20-01-00,main,refs/heads/main,4409f3cccd77dd365b11f5eeef50b9935f281e5f,Simulation,3.238371,535150592,817860608
2023-07-13T20-01-00,main,refs/heads/main,4409f3cccd77dd365b11f5eeef50b9935f281e5f,Truth Tracking GSF,30.243539,503492608,702464000
2023-07-13T20-01-00,main,refs/heads/main,4409f3cccd77dd365b11f5eeef50b9935f281e5f,Truth Tracking KF,0.000351,454656,7761920
2023-07-13T20-01-00,main,refs/heads/main,4409f3cccd77dd365b11f5eeef50b9935f281e5f,Vertexing,6.872049,658755584,842141696
2023-07-13T22-19-21,main,refs/heads/main,f1bc93abb476963c18b15212a6b71bbd3815d2f5,CKF Tracking,27.255856,615333888,790917120
2023-07-13T22-19-21,main,refs/heads/main,f1bc93abb476963c18b15212a6b71bbd3815d2f5,Simulation,7.771077,589254656,874508288
2023-07-13T22-19-21,main,refs/heads/main,f1bc93abb476963c18b15212a6b71bbd3815d2f5,Truth Tracking GSF,23.566481,519540736,716939264
2023-07-13T22-19-21,main,refs/heads/main,f1bc93abb476963c18b15212a6b71bbd3815d2f5,Truth Tracking KF,0.000312,4096,6615040
2023-07-13T22-19-21,main,refs/heads/main,f1bc93abb476963c18b15212a6b71bbd3815d2f5,Vertexing,1.917564,446267392,610676736
2023-07-14T13-47-39,main,refs/heads/main,8fbbc4670fa1ce1e4ed129214f2c8284917bd5dc,CKF Tracking,8.378929,593510400,772304896
2023-07-14T13-47-39,main,refs/heads/main,8fbbc4670fa1ce1e4ed129214f2c8284917bd5dc,Simulation,6.746774,591175680,874508288
2023-07-14T13-47-39,main,refs/heads/main,8fbbc4670fa1ce1e4ed129214f2c8284917bd5dc,Truth Tracking GSF,23.864787,491950080,701120512
2023-07-14T13-47-39,main,refs/heads/main,8fbbc4670fa1ce1e4ed129214f2c8284917bd5dc,Truth Tracking KF,2.21569,445386752,611610624
2023-07-14T13-47-39,main,refs/heads/main,8fbbc4670fa1ce1e4ed129214f2c8284917bd5dc,Vertexing,8.562402,717172736,912207872
2023-07-14T18-14-32,main,refs/heads/main,8833e70950bb8a3eff36b25cea18f882cc3d5aef,CKF Tracking,9.414083,594595840,772734976
2023-07-14T18-14-32,main,refs/heads/main,8833e70950bb8a3eff36b25cea18f882cc3d5aef,Simulation,8.592113,590229504,816939008
2023-07-14T18-14-32,main,refs/heads/main,8833e70950bb8a3eff36b25cea18f882cc3d5aef,Truth Tracking GSF,26.505841,518004736,716922880
2023-07-14T18-14-32,main,refs/heads/main,8833e70950bb8a3eff36b25cea18f882cc3d5aef,Truth Tracking KF,0.000266,4096,6340608
2023-07-14T18-14-32,main,refs/heads/main,8833e70950bb8a3eff36b25cea18f882cc3d5aef,Vertexing,2.12287,446349312,610680832
2023-07-17T06-42-58,main,refs/heads/main,bb6853453595131e3727327020eb28dfd67cec44,CKF Tracking,10.128774,600236032,781602816
2023-07-17T06-42-58,main,refs/heads/main,bb6853453595131e3727327020eb28dfd67cec44,Simulation,8.296121,591925248,875778048
2023-07-17T06-42-58,main,refs/heads/main,bb6853453595131e3727327020eb28dfd67cec44,Truth Tracking GSF,27.725927,497152000,704671744
2023-07-17T06-42-58,main,refs/heads/main,bb6853453595131e3727327020eb28dfd67cec44,Truth Tracking KF,0.000477,413696,7876608
2023-07-17T06-42-58,main,refs/heads/main,bb6853453595131e3727327020eb28dfd67cec44,Vertexing,2.124647,446246912,615419904
2023-07-17T10-46-20,main,refs/heads/main,b23582886e7b09d0903ec8e510398d6eb554fa7e,CKF Tracking,34.044772,616316928,790642688
2023-07-17T10-46-20,main,refs/heads/main,b23582886e7b09d0903ec8e510398d6eb554fa7e,Simulation,7.464954,592998400,818991104
2023-07-17T10-46-20,main,refs/heads/main,b23582886e7b09d0903ec8e510398d6eb554fa7e,Truth Tracking GSF,23.590328,517013504,718155776
2023-07-17T10-46-20,main,refs/heads/main,b23582886e7b09d0903ec8e510398d6eb554fa7e,Truth Tracking KF,0.101098,24895488,152592384
2023-07-17T10-46-20,main,refs/heads/main,b23582886e7b09d0903ec8e510398d6eb554fa7e,Vertexing,1.715141,444432384,613138432
2023-07-18T16-33-49,main,refs/heads/main,7e5b2cea3e29b2de1dec322b5a669072e11c3d46,CKF Tracking,63.924562,669949952,859217920
2023-07-18T16-33-49,main,refs/heads/main,7e5b2cea3e29b2de1dec322b5a669072e11c3d46,Simulation,7.464003,588443648,878067712
2023-07-18T16-33-49,main,refs/heads/main,7e5b2cea3e29b2de1dec322b5a669072e11c3d46,Truth Tracking GSF,22.968401,493248512,702181376
2023-07-18T16-33-49,main,refs/heads/main,7e5b2cea3e29b2de1dec322b5a669072e11c3d46,Truth Tracking KF,0.101707,21209088,152584192
2023-07-18T16-33-49,main,refs/heads/main,7e5b2cea3e29b2de1dec322b5a669072e11c3d46,Vertexing,12.013301,752345088,1049399296
2023-07-19T09-11-39,main,refs/heads/main,375f1a91bcd193205b8ff8e00df4800aa151b934,CKF Tracking,28.181737,616861696,787394560
2023-07-19T09-11-39,main,refs/heads/main,375f1a91bcd193205b8ff8e00df4800aa151b934,Simulation,5.840455,575094784,856838144
